    learning_rate =0.1,
    n_estimators=1000,
    max_depth=5,
    min_child_weight=1,
    gamma=0,
    subsample=0.8,
    colsample_bytree=0.8,
    objective='multi:softmax',
    nthread=24,
    scale_pos_weight=1,
    seed=27
[110]	train-merror:0.129509+3.40447e-05	test-merror:0.133998+0.00074664
[111]	train-merror:0.129203+9.68103e-05	test-merror:0.133793+0.000781766
[112]	train-merror:0.128924+8.41522e-05	test-merror:0.133615+0.000751843
[113]	train-merror:0.128669+8.13058e-05	test-merror:0.133383+0.000780935
[114]	train-merror:0.128407+8.7266e-05	test-merror:0.133208+0.000696552
[115]	train-merror:0.128165+0.000202071	test-merror:0.132961+0.000760285
[116]	train-merror:0.127856+0.000220449	test-merror:0.132744+0.000659759
[117]	train-merror:0.127652+0.000167351	test-merror:0.132585+0.000735044
[118]	train-merror:0.127344+0.000224629	test-merror:0.132129+0.000634065
[119]	train-merror:0.127111+0.000283465	test-merror:0.131942+0.000646838
[120]	train-merror:0.126784+0.00025727	test-merror:0.131653+0.000635199
[121]	train-merror:0.126528+0.00028341	test-merror:0.131391+0.000648288
[122]	train-merror:0.126309+0.000330015	test-merror:0.131277+0.000621311
[123]	train-merror:0.126127+0.000315079	test-merror:0.131068+0.000650204
[124]	train-merror:0.125879+0.000407152	test-merror:0.130901+0.000663824
[125]	train-merror:0.125701+0.00035219	test-merror:0.130802+0.0006659
[126]	train-merror:0.125455+0.000418795	test-merror:0.130562+0.000581462
[127]	train-merror:0.12518+0.000435574	test-merror:0.130406+0.000622504
[128]	train-merror:0.124941+0.00034899	test-merror:0.130095+0.000622945
[129]	train-merror:0.124757+0.000322835	test-merror:0.130015+0.000750632
[130]	train-merror:0.124584+0.000316043	test-merror:0.129981+0.000669642
[131]	train-merror:0.124398+0.000350531	test-merror:0.129703+0.000724854
[132]	train-merror:0.12426+0.000290635	test-merror:0.129616+0.000702846
[133]	train-merror:0.124015+0.000306559	test-merror:0.129384+0.000723538
[134]	train-merror:0.123696+0.000329549	test-merror:0.129167+0.000769618
[135]	train-merror:0.123456+0.000331095	test-merror:0.128844+0.000602291
[136]	train-merror:0.1233+0.00032959	test-merror:0.128765+0.000699458
[137]	train-merror:0.122997+0.000254644	test-merror:0.128468+0.000750519
[138]	train-merror:0.122846+0.000198374	test-merror:0.128419+0.000666333
[139]	train-merror:0.122651+0.000197805	test-merror:0.128259+0.000622091
[140]	train-merror:0.122438+0.000244218	test-merror:0.128065+0.000652262
[141]	train-merror:0.122198+0.000273288	test-merror:0.127943+0.000584301
[142]	train-merror:0.121949+0.000273408	test-merror:0.127658+0.000540468
[143]	train-merror:0.121733+0.000193642	test-merror:0.12743+0.000573927
[144]	train-merror:0.121565+0.000177525	test-merror:0.127248+0.000677968
[145]	train-merror:0.121394+0.00013036	test-merror:0.127164+0.000746867
[146]	train-merror:0.121133+0.000154964	test-merror:0.126852+0.000743927
[147]	train-merror:0.12077+0.000219914	test-merror:0.126655+0.000667482
[148]	train-merror:0.120632+0.000192883	test-merror:0.126583+0.00065956
[149]	train-merror:0.12054+0.000188249	test-merror:0.126461+0.000713652
[150]	train-merror:0.120391+0.000162512	test-merror:0.126275+0.000663576
[151]	train-merror:0.12023+0.000185638	test-merror:0.126252+0.000632674
[152]	train-merror:0.120043+0.000243311	test-merror:0.126013+0.000764697
[153]	train-merror:0.11981+0.000218545	test-merror:0.125857+0.000730885
[154]	train-merror:0.119667+0.000231196	test-merror:0.12572+0.00073848
[155]	train-merror:0.119533+0.000220835	test-merror:0.125701+0.000748198
[156]	train-merror:0.119357+0.000261838	test-merror:0.125556+0.000724815
[157]	train-merror:0.119201+0.000277045	test-merror:0.125401+0.00072171
[158]	train-merror:0.119002+0.000254438	test-merror:0.125325+0.000780016
[159]	train-merror:0.118873+0.000313114	test-merror:0.12518+0.00078969
[160]	train-merror:0.118681+0.000341363	test-merror:0.12504+0.000717909
[161]	train-merror:0.118512+0.000334559	test-merror:0.124941+0.000841893
[162]	train-merror:0.118354+0.000266609	test-merror:0.124774+0.000892401
[163]	train-merror:0.118137+0.00034933	test-merror:0.124568+0.000897841
[164]	train-merror:0.117868+0.000295519	test-merror:0.124348+0.000824564
[165]	train-merror:0.117766+0.000267616	test-merror:0.124268+0.000868921
[166]	train-merror:0.117609+0.000335367	test-merror:0.124074+0.000783199
[167]	train-merror:0.11744+0.000323415	test-merror:0.123964+0.000774311
[168]	train-merror:0.117275+0.000285833	test-merror:0.123884+0.000694953
[169]	train-merror:0.117125+0.000239957	test-merror:0.12372+0.000735514
[170]	train-merror:0.116939+0.000253479	test-merror:0.123599+0.000765169
[171]	train-merror:0.116793+0.000244631	test-merror:0.123447+0.000703626
[172]	train-merror:0.116627+0.000320839	test-merror:0.123348+0.000664337
[173]	train-merror:0.116475+0.0003473	test-merror:0.123207+0.000605787
[174]	train-merror:0.116293+0.000371979	test-merror:0.123078+0.000489891
[175]	train-merror:0.116174+0.000347936	test-merror:0.122979+0.000487438
[176]	train-merror:0.116013+0.000335691	test-merror:0.122858+0.000504785
[177]	train-merror:0.115901+0.000326848	test-merror:0.122747+0.00051484
[178]	train-merror:0.115741+0.000297112	test-merror:0.122637+0.000472241
[179]	train-merror:0.115645+0.00023648	test-merror:0.122611+0.000529906
[180]	train-merror:0.115528+0.000223694	test-merror:0.122523+0.000525088
[181]	train-merror:0.1154+0.000268211	test-merror:0.122443+0.000486726
[182]	train-merror:0.115218+0.00023538	test-merror:0.122223+0.000600713
